"Кампания ""Единая перфоманс-кампания №4 от 13-10-2025"" (704073639), период 02.02.2026 - 06.02.2026"
"Всего по поисковым запросам";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 02.02.2026 по 06.02.2026";;336,28;2332;168;7,20;1681,39;10,01;3,57;280,23;6

"Дата";"Поисковый запрос";"Группа";"№ Группы";"Условие показа";"Тип соответствия";"Подобранная фраза";"Категория таргетинга";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
04.02.2026;"борьба с постоянной тревогой эффективные методы";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"браженко татьяна витальевна психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"в каком случае нужно обратиться к психотерапевту";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"в чем помогает психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"в чем разница между психиатром и психотерапевтом";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"валамин андрей геннадьевич психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"валерьянка от тревоги помогает ли";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"валосердин при тревоге и срк";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"вальдоксан при тревожном расстройстве кому назначали форум";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"ванны при тревожном расстройстве";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"васин андрей сергеевич психиатр психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"венлатоксин при тревоге";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"вера иваницкая врач психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"вечером повышается беспокойство чувство тревоги что делать";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"видео психотерапевта о психогенном головокружении";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"вилла маро психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"вопрос психотерапевту можно ли одновременно пустырник и фенибут";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"вопрос с утра от психотерапевта";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"вопросы открывающие пространство помогают найти собственные что психотерапевты для разрешения проблемы ответ";"Тревога и паника";5662806799;"психотерапевт -онлайн";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"вопросы чтобы определить надо ли человеку к психотерапевту";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"врач психиатр и врач психотерапевт в чем";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"врач психиатр и врач психотерапевт в чем разница";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"врач психотерапевт адрес в солигорске";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Широкие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"врач психотерапевт в уссурийске светлана";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"врач психотерапевт по ктп онлайн";"Тревога и паника";5662806799;"психотерапевт онлайн -консультация";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"врач психотерапевт поликлиники воронеж";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"врач психотерапевт что лечит у взрослых";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"врач психотерапевт чула борис самуилович контакты";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"врачи в частной клинике в майкоп психотерапевт улица пионерская дом 413 2";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"время приема обуховой татьяны псиатра";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"вызов на дом подросткового психотерапевта";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"вызов на дом подросткового психотерапевта";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Узкие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"высокая тревожность у взрослых как бороться";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"габапентин при тревоге и депрессии";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"галлямов фарис лутфуллович психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"гамова липецк психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"где можно вылечиться от навязчивых мыслей и тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"где принимает психотерапевт шамне";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"где принимает психотерапевт шамне";"Тревога и паника";5662806799;"психотерапевт -онлайн";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"гиалонг психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"гипноз от депрессии и тревоги в течении дня";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"гипноз от тревоги елена еловик";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"глазной психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"грандаксин от страха принимать утром или вечером";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"грандаксин при панических";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"грандаксин при панических атаках";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"грандаксин при тревоге вернется ли внимание и память";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"губанов виталий александрович психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"давыденков василий иванович врач психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"давыденков василий иванович врач психотерапевт калуга";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"давыдова елена валерьевна психотерапевт записаться";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"дарын олимпиада онлайн для учителя психологов";"Тревога и паника";5662806799;"психолог онлайн -записываться -консультация -анонимный -помощь";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"девушка психолог";"Тревога и паника";5662806799;"женский психолог";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"деятельность психотерапевта";"Тревога и паника";5662806799;"психотерапевт -онлайн";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"для снижения тревожности подростков какие таблетки";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"добрый доктор косолапова психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"довгополый дмитрий витальевич психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"доктор дукина армавир психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"доктор евдокименко разумная медицина дыхание для устранения тревоги панических атак";"Тревога и паника";5662806799;"психотерапевт панические атаки";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"доронина татьяна сергеевна психиатр психотерапевт записаться";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"дубей ирина викторовна психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"дубровская мария казбековна психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"дувалина о психологическая помощь женщинам";"Тревога и паника";5662806799;"психолог для женщин";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"дыбов михаил психо терапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"дыхательная гимнастика при стрессе и тревоге и страхе";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"дыхательные упражнения для успокоения при тревожности и панических атак";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"евгений красиков видео психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"елена вальяк избавление от страха и тревоги ночью во сне";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"если выпить одну таблетку афобазола то тревожность исчезнет или нет";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"жавнеров павел 5 шагов по избавлению от тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"жиляева татьяна владимировна психиатр психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"журавлева юлия михайловна психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"за какое время можно выйти из тревожности организма принимая золофт и атаракс";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"задорожный сергей владимирович психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";5;0;0,00;0,00;-;-;-;0
04.02.2026;"захарова светлана витальевна психотерапевт великий новгород";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"зачем надо идти к психотерапевту";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"зачем психотерапевт перед логопедом";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"иванова екатерина александровна психотерапевт психиатр";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"избавление от тревоги и депрессии онлайн";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Целевые запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"инга евгеньевна психотерапевт фильм";"Тревога и паника";5662806799;"психотерапевт -онлайн";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"инна белова психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"ирина семизорова официальный сайт психотерапевт";"Тревога и паника";5662806799;"психотерапевт онлайн -консультация";"семантическое";-;"Альтернативные запросы";3;0;0,00;0,00;-;-;-;0
04.02.2026;"ирина семизорова официальный сайт психотерапевт";"Тревога и паника";5662806799;"психотерапевт онлайн -консультация";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"ирина семизорова психолог сайт";"Тревога и паника";5662806799;"психолог онлайн -записываться -консультация -анонимный -помощь";"семантическое";-;"Альтернативные запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"как бороться с тревогой и беспокойством внутри себя";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как бороться с тревогой и замкнутостью";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как бороться с тревожностью";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как быстро снять тревогу советы";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как выйти из депрессии и тревожности";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"как вылечиться от панических атак и тревожности навсегда";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как избавиться от внутреннего напряжения и тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как избавиться от навязчивой тревожности";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как избавиться от постоянного стресса и тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"как избавиться от старческой тревоги и волнение";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как избавиться от страха и тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как избавиться от тревоги и беспокойства навязчивых мыслей";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как избавиться от тревоги и страха после отмены алкоголя";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как избавиться от тревожности";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";6;0;0,00;0,00;-;-;-;0
04.02.2026;"как избавиться от тревожности и внутреннего беспокойства и навязчивых мыслей";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как избавиться от чувства тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как лечить панические атаки и тревожные состояния у женщины в домашних условиях";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как лечить фобии у взрослых страхи и тревогу";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как менять мышление при тревожном расстройстве";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как может повлиять на чувства женщины когда она узнала что мужчина перед сексом с ней употребляет таблетки для поднятия эрекции психолог";"Тревога и паника";5662806799;"психолог для женщин";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как навсегда избавиться от тревоги и страха";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как найти хорошего психотерапевта онлайн";"Тревога и паника";5662806799;"психотерапевт онлайн консультация";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как ощущается паническая атака";"Тревога и паника";5662806799;"что такое паническая атака как она проявляется";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как перестать разгонять тревогу из за здоровья приемы кпт";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как пить атаракс при панической атаке";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как победить тревогу с помощью физических упражнений";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как победить чувство тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как побороть тревожность 4 проверенных способа";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"как подавить тревожность";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как получить консультацию психотерапевта";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как понизить тревожность и беспокойство у взрослых";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как понять что у тебя паническая атака";"Тревога и паника";5662806799;"что такое паническая атака как она проявляется";"семантическое";-;"Сопутствующие запросы";3;0;0,00;0,00;-;-;-;0
04.02.2026;"как попасть к психотерапевту во фрунзенском районе г минск";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как попасть к психотерапевту во фрунзенском районе г минск";"Тревога и паника";5662806799;"психотерапевт -онлайн";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как преодолеть страх и тревогу с расшатанной нервной системой";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как принимать глицин при тревоге";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как принимать таблетки тенотен";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"как принимать тералиджен при тревоге";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как принимать финлепсин при тревожности";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как проходит паническая атака симптомы";"Тревога и паника";5662806799;"что такое паническая атака как она проявляется";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как проходит прием у психотерапевта";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"как проходит прием у психотерапевта обстановка";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как работают противотревожные препараты";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как самому бороться с депрессией страхом и тревогой";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как сбить сильную тревогу";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как снизить тревогу";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как снизить тревожность";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как снять беспокойство и тревожность на душе";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как снять нервное напряжение быстро что лучше из седативных при тревоге";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"как снять тревогу диазепамом";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как снять тревогу и чувство страха";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как снять тревожность в руках";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как снять тревожность после алкоголя в домашних условиях";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как справиться с панической атакой психолог";"Тревога и паника";5662806799;"психотерапевт панические атаки";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как справиться с приступом тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как справиться с тревогой и стрессом с помощью когнитивно поведенческой терапии";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как справиться с тревожностью";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как справиться с тревожностью меланхолику";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
04.02.2026;"как справиться с тревожностью советы";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как справиться с тревожным расстройством";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как убрать из подсознания тревожное расстройство";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
04.02.2026;"как убрать нервозность и тревожность тепедтснои";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
