Поисковый запрос,№ Кампании,Название кампании,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Тип соответствия,Категория запроса,Упоминания брендов в запросах,Название пакетной стратегии,Тип стратегии,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Подобранная фраза,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
александр колмановский психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.33,0.00,133.40,1.00,-
сколько стоит сеанс с психологом,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.19,0.00,119.33,1.00,-
сайт школьных психологов проекты память внимание,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Пословное,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
цена приема у семейного психолога в дзержинском московской области,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,1.00,-
семейный психолог спб цены,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог по когнитивно поведенческой психотерапии,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.86,0.00,85.66,1.00,-
к какому врачу идти с тревожностью и стрессом,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,40.75,1,1,0,0.00,-,100.00,40.75,1.24,80.37,124.42,1.00,1.00
ведение психологических групп онлайн в интеграции евгений садовников,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,онлайн психологический  -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-
один поход к психологу цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.77,0.00,76.59,3.00,-
психологические скорые,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог рф,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психологические группы онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.22,0.00,121.73,5.00,-
марина нахалова психолог цены,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
постоянная тревожность и беспокойство что делать,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.09,0.00,109.08,1.00,-
екатерина святкина психолог цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.40,0.00,39.52,3.00,-
психолог онлайн упт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.15,0.00,115.12,2.00,-
нейропсихолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.91,0.00,91.03,2.00,-
сколько стоит несколько сеансов к психологу,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
писаренко наталья александровна психолог стоимость приема,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
наталья качанова психолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.24,0.00,123.60,1.00,-
основы когнитивно поведенческой терапии 4 е изд читать онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,когнитивно поведенческая терапия онлайн,Пословное,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.69,0.00,69.40,3.00,-
на каких сайтах можно подробнее изучать психику человека,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психика сайт,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
когнитивно поведенческой терапией с психотерапевтом,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
став психологический сайт черная магия,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психологический сайт,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
когнитивно поведенческая терапия в уфе,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.09,0.00,108.87,3.00,-
психолог online,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психологи на дому,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Не определено,-,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.21,0.00,21.28,-,-
психолог погудина александра сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психология онлайн крылья,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,онлайн психология  -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психологические онлайн продукты на тему темперамента,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,онлайн психологический  -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,1.00,-
вадим куркин психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
где найти хорошего женского психолога в москве для 25 30 возраста расценки за услуги,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психологическая помощь в трудной жизненной ситуации,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.06,0.00,6.31,6.00,-
когнитивная поведенческая терапия новосибирск,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,29.63,1,1,1,100.00,29.63,100.00,29.63,1.59,62.76,159.35,1.00,1.00
сколько стоит прием к психологу сатья,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
сколько стоит психолог перед абортом в омске,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.42,0.00,41.63,6.00,-
сайт по психологии дошкольников,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,сайт психология,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
сколько стоит консультация психолога в час,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.68,0.00,68.18,3.00,-
психолог для клиента,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психологу,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.01,0.00,1.03,2.00,-
егор шастин про тревогу психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.18,0.00,118.50,1.00,-
максим гущин психолог консультация стоимость,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Пословное,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
катерина мурашова психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.78,0.00,77.86,1.00,-
психолог семейный онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Пословное,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,-,-
сколько стоит психолог в воронеже,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог в курске хороший,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.62,0.00,62.25,3.00,-
соловьева ольга психолог новосибирск сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог услуги,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.53,0.00,52.56,3.00,-
санкт петербургский портал психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
youtalk сайт психологов надежда синюгина,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
врач поведенческой медицины в краснодаре,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
онлайн психолог нейросеть,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
онлайн психолог нейросеть,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Пословное,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
сколько стоит консультация психолога онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.77,0.00,76.66,2.00,-
силенок инна казимировна психолог цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.67,0.00,66.85,3.00,-
клинический психолог стоимость приема,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
ирина золина психолог стоимость консультации,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.23,0.00,23.14,3.00,-
сайт б 17 психологи,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог алексей красиков официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
сайт психологов дзен,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
чолпон токтоналиева психолог психотерапевт цена приема,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.53,0.00,53.28,2.00,-
психолог в орехово зуево,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
анонимный психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.01,0.00,1.10,3.00,-
стоимость психолога в нижнем новгороде,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
мой психологический возраст большой сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психологический сайт,0.00,1,0,0,-,-,0.00,-,0.87,0.00,86.79,1.00,-
занятие с психологом,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-
поведенческий психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог онлайн при эмоциональном выгорании врача,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Узкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог цена за час,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Не определено,-,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.21,0.00,21.28,-,-
б 17 психологический сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог панические атаки,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
название консультации психолога о безопасности в сети интернет,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,консультация психолога интернет,0.00,1,0,0,-,-,0.00,-,0.44,0.00,44.42,6.00,-
заказать обратный звонок психологическая помощь,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.23,0.00,123.05,5.00,-
сколько стоит парный прием психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
онлайн группа онкологических больных общение психологическая помощь,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
обратится к психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
батракова марина юрьевна краснодар психолог цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
онлайн консультация психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.06,0.00,5.58,7.00,-
хороший психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
кпт терапевт воронеж,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
psymama ru психологическая помощь при эко,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.71,0.00,71.23,2.00,-
частные психологи москва,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.88,0.00,88.00,2.00,-
юридическая психология сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психология сайт,0.00,1,0,0,-,-,0.00,-,1.09,0.00,109.19,1.00,-
психолог омск цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолограм сайт для психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Пословное,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.99,0.00,98.87,1.00,-
психологи н н,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
российский психологический журнал официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психологический сайт,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-
психолог кпт краснодар,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.58,0.00,57.97,3.00,-
психотерапевт может ли быть онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психотерапевт онлайн  -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
