Поисковый запрос,№ Кампании,Название кампании,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Тип соответствия,Категория запроса,Упоминания брендов в запросах,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Формат,Источник текста,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Подобранная фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Название пакетной стратегии,Тип стратегии,Тип кампании,Статус кампании,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
кпт психолог москва,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Не определен,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-,-,-
перечень тем запросов для онлайн консультирования психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Пословное,Сопутствующие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог при тревожности. Онлайн.,Разберитесь с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
онлайн платформа для консультирования помощь психологу,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Пословное,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,46.32,1,1,1,100.00,46.32,100.00,46.32,1.37,73.09,136.82,1.00,1.00,0.00,1.00
психотерапевт удаленно,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.51,0.00,50.59,4.00,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Пословное,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог при тревожности. Онлайн.,Разберитесь с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,54.88,1,1,1,100.00,54.88,100.00,54.88,0.81,123.44,81.01,3.00,3.00,0.00,1.00
психолог кпт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,КПТ-психология онлайн. Бесплатная вводная встреча,Конфиденциально. Конкретные техники и упражнения. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,25-34 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.06,0.00,6.31,6.00,-,-,-
чат с психологом онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.89,0.00,188.87,2.00,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
сеанс психологии кпт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.73,0.00,173.24,1.00,-,-,-
прием ру сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,услуги психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.37,0.00,137.38,5.00,-,-,-
сеанс психологии кпт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,КПТ. Онлайн-консультации с психологом.,Помогу разобраться с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог кпт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.39,0.00,139.45,3.00,-,-,-
сайт с психологами,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,услуги психолога онлайн,Семантическое,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,25-34 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.44,0.00,143.89,2.00,-,-,-
психолог онлайн консультация екатеринбург,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,59.94,1,1,0,0.00,-,100.00,59.94,0.09,1176.47,8.50,5.00,5.00,-,-
анна онлайн психолог искусственный интеллект,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,услуги психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,Старше 55,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.23,0.00,122.75,1.00,-,-,-
в 17 сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,КПТ-психология онлайн. Бесплатная вводная встреча,Конфиденциально. Конкретные техники и упражнения. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
консультация психолога в онлайн чате фразы,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог при тревожности. Онлайн.,Разберитесь с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.86,0.00,85.77,2.00,-,-,-
где получить психологическую помощь,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,Старше 55,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.16,0.00,115.97,3.00,-,-,-
беседа с психологом,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
решетова татьяна владимировна психотерапевт консультации онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.59,0.00,58.97,2.00,-,-,-
ясно психологи онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
к кому записаться если плохо спишь и нервничаешь,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог для работы с тревожностью и беспокойством,Конфиденциально. Защищенные каналы связи.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Не определен,Не определен,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.44,0.00,44.42,6.00,-,-,-
средняя цена психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.55,0.00,155.20,1.00,-,-,-
психологическая помощь без паники,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог онлайн консультация,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Оригинальный,Женский,Старше 55,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.06,0.00,5.58,7.00,-,-,-
сколько стоит 10 сеансов психотерапевта восстановлению после абьюзерных токсичных отношений с партнером,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
анонимный прием психотерапевта стоимость,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог онлайн в челябинске,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,КПТ-психология онлайн. Бесплатная вводная встреча,Конфиденциально. Конкретные техники и упражнения. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,Топ 1%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.06,0.00,6.31,6.00,-,-,-
в17 психология официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.38,0.00,138.07,1.00,-,-,-
канал для поиска психолога в телеграм,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,найти психолога онлайн,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,КПТ. Онлайн-консультации с психологом.,Помогу разобраться с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
сайт астропсихолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.69,0.00,68.83,2.00,-,-,-
виртуальный психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог нужен или психотерапевт при панической атаке,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог при тревоге. Конфиденциально и онлайн.,Бесплатная встреча. Конкретные техники. Домашнее задание для закрепления.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
база психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,36.72,1,1,0,0.00,-,100.00,36.72,0.88,113.17,88.37,3.00,3.00,0.00,1.00
кпт при сдвг онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,когнитивно поведенческая терапия онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,КПТ онлайн. Конфиденциально и без обязательств.,Научно обоснованный метод. Бесплатная вводная встреча. Помощь при тревоге.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
шанс серпухов официальный сайт психологический центр,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог для работы с тревожностью и беспокойством,Конфиденциально. Защищенные каналы связи.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,психологический сайт,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
